,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
158,0.2%,0.8%,11.4%,46.8%,40.8%,马可·贾利尼,354196,['\n        '],"['2018-05-25(中国大陆)', '2016-02-11(意大利)']",保罗·杰诺维塞,['\n        '],完美陌生人 Perfetti sconosciuti,8.5,保罗·杰诺维塞,97分钟,"['剧情', '喜剧']"
159,0.2%,0.9%,9.0%,35.6%,54.3%,艾德里安·布洛迪,280797,['\n        '],['2011-04-25(翠贝卡电影节)'],托尼·凯耶,['\n        '],超脱 Detachment,8.9,卡尔·隆德,97分钟,['剧情']
160,0.5%,1.2%,10.2%,37.7%,50.3%,松隆子,494243,['\n        '],['2010-06-05(日本)'],中岛哲也,['\n        '],告白,8.7,中岛哲也,106分钟,"['剧情', '惊悚']"
161,0.3%,1.0%,10.2%,35.1%,53.3%,伊桑·霍克,306702,['\n        '],"['2004-02-10(柏林电影节)', '2004-07-30(美国)']",理查德·林克莱特,['\n        '],爱在日落黄昏时 Before Sunset,8.8,理查德·林克莱特,80 分钟,"['剧情', '爱情']"
162,0.1%,0.5%,8.3%,38.8%,52.2%,布鲁斯·威利斯,346494,['\n        '],['1999-08-06(美国)'],M·奈特·沙马兰,['\n        '],第六感 The Sixth Sense,8.8,M·奈特·沙马兰,107分钟,"['剧情', '悬疑', '惊悚']"
163,0.3%,1.2%,16.0%,43.6%,38.9%,梁朝伟,397107,['\n        '],"['2007-09-24(中国台湾)', '2007-09-26(中国香港)', '2007-11-01(中国大陆)', '2007-08-30(威尼斯电影节)', '2007-10-26(美国)']",李安,['\n        '],色，戒,8.4,王蕙玲,158分钟,"['剧情', '爱情', '情色']"
164,0.6%,2.0%,21.0%,45.0%,31.4%,柯震东,673147,['\n        '],"['2011-08-19(中国台湾)', '2012-01-06(中国大陆)']",九把刀,['\n        '],那些年，我们一起追的女孩 那些年，我們一起追的女孩,8.1,九把刀,110分钟,"['剧情', '喜剧', '爱情']"
165,0.2%,0.4%,6.1%,27.7%,65.7%,丁建华,107840,['\n        '],"['1983(中国大陆)', '2019(中国大陆重映)']",王树忱,['\n        '],天书奇谭,9.2,王树忱,89分钟,"['动画', '奇幻']"
166,0.2%,0.8%,11.3%,40.3%,47.4%,吴君如,414615,['\n        '],"['2010-03-11(中国香港)', '2010-04-16(中国大陆)', '2010-02-14(柏林电影节)']",罗启锐,['\n        '],岁月神偷 歲月神偷,8.7,罗启锐,117分钟,"['剧情', '家庭']"
167,0.2%,0.7%,7.8%,33.1%,58.2%,林原惠美,232114,['\n        '],"['2006-09-02(威尼斯电影节)', '2006-11-25(日本)']",今敏,[' '],红辣椒 パプリカ,9.0,水上清资,90 分钟,"['科幻', '动画', '悬疑', '惊悚']"
168,0.1%,0.6%,11.0%,43.5%,44.8%,本尼迪克特·康伯巴奇,379195,['\n        '],"['2015-07-21(中国大陆)', '2014-11-14(英国)', '2014-12-25(美国)']",莫滕·泰杜姆,[' '],模仿游戏 The Imitation Game,8.6,格拉汉姆·摩尔,114分钟,"['剧情', '同性', '传记', '战争']"
169,0.1%,0.6%,8.6%,40.2%,50.5%,罗夫·拉斯加德,215997,['\n        '],['2015-12-25(瑞典)'],汉内斯·赫尔姆,['\n        '],一个叫欧维的男人决定去死 En man som heter Ove,8.8,弗雷德里克·巴克曼,116分钟,['剧情']
